NE	Dube	Kheli	F	90000	$
NE	Fagundez	Diego	F	52500	70833.33
NE	Feilhaber	Benny	M	300000	$
NE	Joseph	Shalrie	M	475000	96875
NE	Kinne	Ryan	F	32604	$
NE	Koger	Alan	F	32604	74500
NE	Lekic	Radivoje	F	275004	$
NE	Loewy	Otto	D	42000	129000
NE	Mansally	Kenny	F-M	71500	$
NE	McCarthy	Stephen	M	42000	228000
NE	Murray	Tim	GK	42000	$
NE	Nyassi	Sainey	M	80000	33600
NE	Perovic	Marko	M	180000	$
NE	Phelan	Pat	M	60000	100000
NE	Reis	Matt	GK	187312	$
NE	Schilawski	Zack	F	49875	133000
NE	Shuttleworth	Robert	GK	42000	$
NE	Soares	AJ	D	42000	32600
NE	Sousa	Andrew	M	32604	$
NE	Stolica	Ilija	F	216000	44500
NE	Tierney	Chris	D-M	65000	$
NY	Agudelo	Juan	F	55000	150000
NY	Albright	Chris	D	100800	$
NY	Ballouchy	Mehdi	M	125625	53250
NY	Chirgadze	Giorgi	F	42000	$
NY	Coundoul	Bouna	GK	178250	118000
NY	Da Luz	Austin	M	44000	$
NY	DeRosario	Dwayne	M	425000	43566.67
NY	Henry	Thierry	F	5000000.04	$
NY	Hertzog	Corey	F	65000	525366.67
NY	Horwath	Alex	GK	32604	$
NY	Hot	Sacir	D	32600	47000
NY	Kassel	Matt	M	32600	$
NY	Keel	Stephen	D	42000	42000
NY	Lassiter	Tyler	D	32604	$
NY	Lindpere	Joel	M	90000	97500
NY	Marquez	Rafael	D	4600000	$
NY	Mendes	Carlos	D	98175	157750
NY	Miller	Roy	M	99996	$
NY	Nielsen	Brian	M	120000	45978.4
NY	Paulo	Marcos	F	82000	$
NY	Ream	Tim	D	55125	72000
NY	Richards	Dane	M-F	145000	$
NY	Robinson	Carl	M	75000	244870
NY	Rodgers	Luke	F	180000	69750
NY	Rooney	John	M	48000	$
NY	Salou	Ibrahim	F	264000	201643
NY	Schneider	Teddy David	D	32604	$
NY	Solli	Jan Gunnar	M	180000	44000
NY	Tainio	Teemu	M	200004	$
NY	Sutton	Greg	GK	75600	148200
PHI	Agorsor	Christopher	F	42000	$
PHI	Califf	Daniel	D	250000	42000
PHI	Carroll	Brian	M	160000	$
PHI	Daniel	Keon	M	42000	50000
PHI	Farfan	Gabrieul	M	42000	$
PHI	Farfan	Michael	M	42000	63500
PHI	Gonzalez	Juan Diego	D	189000	$
PHI	Harvey	Jordan	D	61875	155800
PHI	Holder	Thorne	GK	42000	$
PHI	Houapeu	Levi	F	32604	156000
PHI	Le Toux	Sebastian	M	155000	$
PHI	MacMath	Zac	GK	80000	47000
PHI	Mapp	Justin	M	175000	$
PHI	McInerney	Jack	F	71250	136250
PHI	Miglioranzi	Stefani	M	130000	$
PHI	Mondragon	Faryd	GK	230000	117500
PHI	Mwanga	Danny	F	120000	$
PHI	Nakazawa	Kyle	M	44000	69218.83
PHI	Okugo	Amobi	M	85000	$
PHI	Pfeffer	Zach	M	55000	179250
PHI	Richter	Ryan	F	32604	$
PHI	Ruiz	Carlos	F	260004	71000
PHI	Torres	Roger	M	105600	$
PHI	Valdes	Carlos	D	180000	42000
PHI	Williams	Sheanon	F	42000	$
POOL	Guppy	Kevin	GK	42000	160000
POOL	Konopka	Chris	GK	42000	$
POR	Alhassan	Kalif	M	60000	50000
POR	Braun	Frederick	M	32600.04	$
POR	Brown	Adin	GK	72000	70375
POR	Brunner	Eric	D	70000	$
POR	Chara	Diego	M	100008	175000
POR	Cooper	Kenny	F	250000	$
POR	Danso	Mamdou	D	75000	84500
POR	Dike	Bright	F	42000	$
POR	Gleeson	Jake	GK	42000	210000
POR	Goldthwaite	Kevin	D	110000	$
POR	Hall	Jeremy	M	80000	125000
POR	Horst	David	D	42000	$
POR	Jewsbury	Jack	D	155000	245000
POR	Johnson	Eddie	F	80000	$
POR	Lopez	Rodrigo	M	32604	79063
POR	Lowry	Peter	F-M	60000	$
POR	Marcelin	James	M	65000	75833.33
POR	Moffat	Adam	M	56700	$
POR	Nagbe	Darlington	M/F	65000	412500
POR	Perkins	Troy	GK	250000	$
POR	Perlaza	Jorge	F	100000	98713
POR	Pore	Ryan	M	80000	$
POR	Purdy	Steve	D	42000	123000
POR	Taylor	Christopher	D	32600.04	$
POR	Thompson	Spencer	F	32604	278062.5
POR	Umony	Brian	F	65004	$
POR	Wallace	Rodney	M-D	90000	42000
POR	Zizzo	Sal	F	65000	$
RSL	Alexandre	Jean	M	42000	50000
RSL	Alvarez	Arturo	M-F	192585	$
RSL	Araujo Jr.	Paulo	F	42000	160833.33
RSL	Arnoux	Cody	F	65400	$
RSL	Beckerman	Kyle	M	280000	81250
RSL	Beltran	Anthony	D	100000	$
RSL	Borchers	Nat	D	159996	44000
RSL	Chinn	Conor	F	32604	$
RSL	Espindola	Fabian	F	75000	143125
RSL	Gil	Luis	M	90250	$
RSL	Gonzalez	Nelson	M-F	42008	94375
RSL	Grabavoy	Ned	M	118125	$
RSL	Johnson	Will	F	225000	153000
RSL	McKenzie	Rauwshan	D	42000	$
RSL	Melia	Tim	GK	42000	46250
